AACSL	empty	AACSP1 (Acetoacetyl-CoA Synthetase Pseudogene 1) is a Pseudogene.	empty	diff
COL27A1	This gene encodes a member of the fibrillar collagen family, and plays a role during the calcification of cartilage and the transition of cartilage to bone. The encoded protein product is a preproprotein. It includes an N-terminal signal peptide, which is followed by an N-terminal propetide, mature peptide and a C-terminal propeptide. The N-terminal propeptide contains thrombospondin N-terminal-like and laminin G-like domains. The mature peptide is a major triple-helical region. The C-terminal propeptide, also known as COLFI domain, plays crucial roles in tissue growth and repair. Mutations in this gene cause Steel syndrome. Alternatively spliced transcript variants have been found, but the full-length nature of some variants has not been determined. [provided by RefSeq, Sep 2014]	COL27A1 (Collagen, Type XXVII, Alpha 1) is a Protein Coding gene. Diseases associated with COL27A1 include steel syndrome. Among its related pathways are PI3K-Akt signaling pathway and ERK Signaling. GO annotations related to this gene include extracellular matrix structural constituent. An important paralog of this gene is COL3A1.	Plays a role during the calcification of cartilage and the transition of cartilage to bone.	same
COL6A3	This gene encodes the alpha-3 chain, one of the three alpha chains of type VI collagen, a beaded filament collagen found in most connective tissues. The alpha-3 chain of type VI collagen is much larger than the alpha-1 and -2 chains. This difference in size is largely due to an increase in the number of subdomains, similar to von Willebrand Factor type A domains, that are found in the amino terminal globular domain of all the alpha chains. These domains have been shown to bind extracellular matrix proteins, an interaction that explains the importance of this collagen in organizing matrix components. Mutations in the type VI collagen genes are associated with Bethlem myopathy, a rare autosomal dominant proximal myopathy with early childhood onset. Mutations in this gene are also a cause of Ullrich congenital muscular dystrophy, also referred to as Ullrich scleroatonic muscular dystrophy, an autosomal recessive congenital myopathy that is more severe than Bethlem myopathy. Multiple transcript variants have been identified, but the full-length nature of only some of these variants has been described. [provided by RefSeq, Jun 2009]	COL6A3 (Collagen, Type VI, Alpha 3) is a Protein Coding gene. Diseases associated with COL6A3 include bethlem myopathy and ullrich congenital muscular dystrophy. Among its related pathways are PI3K-Akt signaling pathway and Signaling by FGFR. GO annotations related to this gene include serine-type endopeptidase inhibitor activity. An important paralog of this gene is SCARA3.	Collagen VI acts as a cell-binding protein	same
COL13A1	This gene encodes the alpha chain of one of the nonfibrillar collagens. The function of this gene product is not known, however, it has been detected at low levels in all connective tissue-producing cells so it may serve a general function in connective tissues. Unlike most of the collagens, which are secreted into the extracellular matrix, collagen XIII contains a transmembrane domain and the protein has been localized to the plasma membrane. The transcripts for this gene undergo complex and extensive splicing involving at least eight exons. Like other collagens, collagen XIII is a trimer; it is not known whether this trimer is composed of one or more than one alpha chain isomer. A number of alternatively spliced transcript variants have been described, but the full length nature of some of them has not been determined. [provided by RefSeq, Jul 2008]	COL13A1 (Collagen, Type XIII, Alpha 1) is a Protein Coding gene. Among its related pathways are ERK Signaling and ERK Signaling. GO annotations related to this gene include heparin binding and extracellular matrix structural constituent. An important paralog of this gene is COL21A1.	Involved in cell-matrix and cell-cell adhesion interactions that are required for normal development. May participate in the linkage between muscle fiber and basement membrane. May play a role in endochondral ossification of bone and branching morphogenesis of lung. Binds heparin.	same
COL5A3	This gene encodes an alpha chain for one of the low abundance fibrillar collagens. Fibrillar collagen molecules are trimers that can be composed of one or more types of alpha chains. Type V collagen is found in tissues containing type I collagen and appears to regulate the assembly of heterotypic fibers composed of both type I and type V collagen. This gene product is closely related to type XI collagen and it is possible that the collagen chains of types V and XI constitute a single collagen type with tissue-specific chain combinations. Mutations in this gene are thought to be responsible for the symptoms of a subset of patients with Ehlers-Danlos syndrome type III. Messages of several sizes can be detected in northern blots but sequence information cannot confirm the identity of the shorter messages. [provided by RefSeq, Jul 2008]	COL5A3 (Collagen, Type V, Alpha 3) is a Protein Coding gene. Diseases associated with COL5A3 include arterial tortuosity syndrome and pulmonary valve stenosis. Among its related pathways are PI3K-Akt signaling pathway and ERK Signaling. GO annotations related to this gene include heparin binding and collagen binding. An important paralog of this gene is COL3A1.	Type V collagen is a member of group I collagen (fibrillar forming collagen). It is a minor connective tissue component of nearly ubiquitous distribution. Type V collagen binds to DNA, heparan sulfate, thrombospondin, heparin, and insulin	same
COL6A4P2	This transcribed pseudogene represents the 3' end of a presumed ortholog to a mouse gene which encodes a collagen VI alpha 4 chain protein (GeneID 68553). The predicted ORF contains multiple premature stop codons. A large chromosome break separates this pseudogene from the 5' end of the presumed ortholog (DVWA, GeneID 344875) which is located upstream at chromosome 3p24.3. [provided by RefSeq, Jun 2009]	COL6A4P2 (Collagen, Type VI, Alpha 4 Pseudogene 2) is a Pseudogene.	empty	same
COL8A2	This gene encodes the alpha 2 chain of type VIII collagen. This protein is a major component of the basement membrane of the corneal endothelium and forms homo- or heterotrimers with alpha 1 (VIII) type collagens. Defects in this gene are associated with Fuchs endothelial corneal dystrophy and posterior polymorphous corneal dystrophy type 2. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jun 2014]	COL8A2 (Collagen, Type VIII, Alpha 2) is a Protein Coding gene. Diseases associated with COL8A2 include corneal dystrophy, fuchs endothelial, 1 and corneal dystrophy, posterior polymorphous 2. Among its related pathways are ERK Signaling and ERK Signaling. GO annotations related to this gene include extracellular matrix structural constituent and protein binding, bridging. An important paralog of this gene is COL8A1.	Macromolecular component of the subendothelium. Major component of the Descemets membrane (basement membrane) of corneal endothelial cells. Also component of the endothelia of blood vessels. Necessary for migration and proliferation of vascular smooth muscle cells and thus, has a potential role in the maintenance of vessel wall integrity and structure, in particular in atherogenesis (By similarity).	same
COL8A1	This gene encodes one of the two alpha chains of type VIII collagen. The gene product is a short chain collagen and a major component of the basement membrane of the corneal endothelium. The type VIII collagen fibril can be either a homo- or a heterotrimer. Alternatively spliced transcript variants encoding the same protein have been observed. [provided by RefSeq, Dec 2011]	COL8A1 (Collagen, Type VIII, Alpha 1) is a Protein Coding gene. Diseases associated with COL8A1 include fuchs' endothelial dystrophy. Among its related pathways are ERK Signaling and ERK Signaling. An important paralog of this gene is OTOL1.	Macromolecular component of the subendothelium. Major component of the Descemets membrane (basement membrane) of corneal endothelial cells. Also component of the endothelia of blood vessels. Necessary for migration and proliferation of vascular smooth muscle cells and thus, has a potential role in the maintenance of vessel wall integrity and structure, in particular in atherogenesis.	same
COL4A2	This gene encodes one of the six subunits of type IV collagen, the major structural component of basement membranes. The C-terminal portion of the protein, known as canstatin, is an inhibitor of angiogenesis and tumor growth. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jul 2008]	COL4A2 (Collagen, Type IV, Alpha 2) is a Protein Coding gene. Diseases associated with COL4A2 include porencephaly 2 and familial porencephaly. Among its related pathways are PI3K-Akt signaling pathway and Signaling by FGFR. GO annotations related to this gene include extracellular matrix structural constituent. An important paralog of this gene is COL3A1.	Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a chicken-wire meshwork together with laminins, proteoglycans and entactin/nidogen	same
COL7A1	This gene encodes the alpha chain of type VII collagen. The type VII collagen fibril, composed of three identical alpha collagen chains, is restricted to the basement zone beneath stratified squamous epithelia. It functions as an anchoring fibril between the external epithelia and the underlying stroma. Mutations in this gene are associated with all forms of dystrophic epidermolysis bullosa. In the absence of mutations, however, an acquired form of this disease can result from an autoimmune response made to type VII collagen. [provided by RefSeq, Jul 2008]	COL7A1 (Collagen, Type VII, Alpha 1) is a Protein Coding gene. Diseases associated with COL7A1 include epidermolysis bullosa pruriginosa and epidermolysis bullosa dystrophica, ad. Among its related pathways are ERK Signaling and ERK Signaling. GO annotations related to this gene include serine-type endopeptidase inhibitor activity. An important paralog of this gene is COL3A1.	Stratified squamous epithelial basement membrane protein that forms anchoring fibrils which may contribute to epithelial basement membrane organization and adherence by interacting with extracellular matrix (ECM) proteins such as type IV collagen	same
COL9A1	This gene encodes one of the three alpha chains of type IX collagen, which is a minor (5-20%) collagen component of hyaline cartilage. Type IX collagen is usually found in tissues containing type II collagen, a fibrillar collagen. Studies in knockout mice have shown that synthesis of the alpha 1 chain is essential for assembly of type IX collagen molecules, a heterotrimeric molecule, and that lack of type IX collagen is associated with early onset osteoarthritis. Mutations in this gene are associated with osteoarthritis in humans, with multiple epiphyseal dysplasia, 6, a form of chondrodysplasia, and with Stickler syndrome, a disease characterized by ophthalmic, orofacial, articular, and auditory defects. Two transcript variants that encode different isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]	COL9A1 (Collagen, Type IX, Alpha 1) is a Protein Coding gene. Diseases associated with COL9A1 include epiphyseal dysplasia, multiple, 6 and stickler syndrome, type iv. Among its related pathways are Signaling by FGFR and Signaling by GPCR. GO annotations related to this gene include extracellular matrix structural constituent conferring tensile strength. An important paralog of this gene is COL21A1.	Structural component of hyaline cartilage and vitreous of the eye	same
COL4A3BP	This gene encodes a kinase that specifically phosphorylates the N-terminal region of the non-collagenous domain of the alpha 3 chain of type IV collagen, known as the Goodpasture antigen. Goodpasture disease is the result of an autoimmune response directed at this antigen. One isoform of this protein is also involved in ceramide intracellular transport. Three transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]	COL4A3BP (Collagen, Type IV, Alpha 3 (Goodpasture Antigen) Binding Protein) is a Protein Coding gene. Diseases associated with COL4A3BP include goodpasture syndrome and alport syndrome. Among its related pathways are Sphingolipid metabolism and Metabolism. GO annotations related to this gene include protein kinase activity and ceramide binding. An important paralog of this gene is PLEKHA3.	Shelters ceramides and diacylglycerol lipids inside its START domain and mediates the intracellular trafficking of ceramides and diacylglycerol lipids in a non-vesicular manner.	same
COLEC10	This gene encodes a member of the C-lectin family, proteins that possess collagen-like sequences and carbohydrate recognition domains. The other members of this family are secreted proteins and bind to carbohydrate antigens on microorganisms facilitating their recognition and removal. This gene product is a cytosolic protein, a characteristic that suggests that it may have different biological functions than other C-lectins. [provided by RefSeq, Jul 2008]	COLEC10 (Collectin Sub-Family Member 10 (C-Type Lectin)) is a Protein Coding gene. GO annotations related to this gene include mannose binding. An important paralog of this gene is COLEC11.	Lectin that binds to various sugars: galactose > mannose = fucose > N-acetylglucosamine > N-acetylgalactosamine.	same
COL4A3	Type IV collagen, the major structural component of basement membranes, is a multimeric protein composed of 3 alpha subunits. These subunits are encoded by 6 different genes, alpha 1 through alpha 6, each of which can form a triple helix structure with 2 other subunits to form type IV collagen. This gene encodes alpha 3. In the Goodpasture syndrome, autoantibodies bind to the collagen molecules in the basement membranes of alveoli and glomeruli. The epitopes that elicit these autoantibodies are localized largely to the non-collagenous C-terminal domain of the protein. A specific kinase phosphorylates amino acids in this same C-terminal region and the expression of this kinase is upregulated during pathogenesis. This gene is also linked to an autosomal recessive form of Alport syndrome. The mutations contributing to this syndrome are also located within the exons that encode this C-terminal region. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter. [provided by RefSeq, Jun 2010]	COL4A3 (Collagen, Type IV, Alpha 3 (Goodpasture Antigen)) is a Protein Coding gene. Diseases associated with COL4A3 include alport syndrome, autosomal recessive and hematuria, benign familial. Among its related pathways are PI3K-Akt signaling pathway and Signaling by FGFR. GO annotations related to this gene include structural molecule activity and extracellular matrix structural constituent. An important paralog of this gene is COL3A1.	Type IV collagen is the major structural component of glomerular basement membranes (GBM), forming a chicken-wire meshwork together with laminins, proteoglycans and entactin/nidogen	same
COL9A3	This gene encodes one of the three alpha chains of type IX collagen, the major collagen component of hyaline cartilage. Type IX collagen, a heterotrimeric molecule, is usually found in tissues containing type II collagen, a fibrillar collagen. Mutations in this gene are associated with multiple epiphyseal dysplasia type 3. [provided by RefSeq, Jan 2010]	COL9A3 (Collagen, Type IX, Alpha 3) is a Protein Coding gene. Diseases associated with COL9A3 include epiphyseal dysplasia, multiple, 3 and col9a3-related multiple epiphyseal dysplasia. Among its related pathways are Signaling by FGFR and Signaling by GPCR. GO annotations related to this gene include extracellular matrix structural constituent conferring tensile strength. An important paralog of this gene is COL21A1.	Structural component of hyaline cartilage and vitreous of the eye	same
COLEC11	This gene encodes a member of the collectin family of C-type lectins that possess collagen-like sequences and carbohydrate recognition domains. Collectins are secreted proteins that play important roles in the innate immune system by binding to carbohydrate antigens on microorganisms, facilitating their recognition and removal. The encoded protein binds to multiple sugars with a preference for fucose and mannose. Mutations in this gene are a cause of 3MC syndrome-2. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Dec 2011]	COLEC11 (Collectin Sub-Family Member 11) is a Protein Coding gene. Diseases associated with COLEC11 include 3mc syndrome 2 and carnevale syndrome. Among its related pathways are Legionellosis and mRNA Splicing - Major Pathway. GO annotations related to this gene include mannose binding. An important paralog of this gene is MBL2.	Lectin that binds to various sugars including fucose and mannose. Has a higher affinity for fucose compared to mannose. Does not bind to glucose, N-acetylglucosamine and N-acetylgalactosamine. Also binds lipopolysaccharides (LPS). Involved in fundamental development serving as a guidance cue for neural crest cell migration (By similarity).	same
COMMD10	empty	COMMD10 (COMM Domain Containing 10) is a Protein Coding gene.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). May down-regulate activation of NF-kappa-B (PubMed:15799966).	same
COMMD2	empty	COMMD2 (COMM Domain Containing 2) is a Protein Coding gene.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). May down-regulate activation of NF-kappa-B (PubMed:15799966).	same
COL6A2	This gene encodes one of the three alpha chains of type VI collagen, a beaded filament collagen found in most connective tissues. The product of this gene contains several domains similar to von Willebrand Factor type A domains. These domains have been shown to bind extracellular matrix proteins, an interaction that explains the importance of this collagen in organizing matrix components. Mutations in this gene are associated with Bethlem myopathy and Ullrich scleroatonic muscular dystrophy. Three transcript variants have been identified for this gene. [provided by RefSeq, Jul 2008]	COL6A2 (Collagen, Type VI, Alpha 2) is a Protein Coding gene. Diseases associated with COL6A2 include myosclerosis, congenital and myosclerosis. Among its related pathways are PI3K-Akt signaling pathway and Signaling by FGFR. GO annotations related to this gene include extracellular matrix structural constituent and protein binding, bridging. An important paralog of this gene is SCARA3.	Collagen VI acts as a cell-binding protein	same
COMMD5	empty	COMMD5 (COMM Domain Containing 5) is a Protein Coding gene.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). Negatively regulates cell proliferation. Negatively regulates cell cycle G2/M phase transition probably by transactivating p21/CDKN1A through the p53/TP53-independent signaling pathway. Involved in kidney proximal tubule morphogenesis (By similarity). Down-regulates activation of NF-kappa-B (PubMed:15799966).	same
COL6A1	The collagens are a superfamily of proteins that play a role in maintaining the integrity of various tissues. Collagens are extracellular matrix proteins and have a triple-helical domain as their common structural element. Collagen VI is a major structural component of microfibrils. The basic structural unit of collagen VI is a heterotrimer of the alpha1(VI), alpha2(VI), and alpha3(VI) chains. The alpha2(VI) and alpha3(VI) chains are encoded by the COL6A2 and COL6A3 genes, respectively. The protein encoded by this gene is the alpha 1 subunit of type VI collagen (alpha1(VI) chain). Mutations in the genes that code for the collagen VI subunits result in the autosomal dominant disorder, Bethlem myopathy. [provided by RefSeq, Jul 2008]	COL6A1 (Collagen, Type VI, Alpha 1) is a Protein Coding gene. Diseases associated with COL6A1 include collagen type vi-related disorders and bethlem myopathy. Among its related pathways are PI3K-Akt signaling pathway and Signaling by FGFR. GO annotations related to this gene include platelet-derived growth factor binding. An important paralog of this gene is SCARA3.	Collagen VI acts as a cell-binding protein	same
COMMD6	COMMD6 belongs to a family of NF-kappa-B (see RELA; MIM 164014)-inhibiting proteins characterized by the presence of a COMM domain (see COMMD1; MIM 607238) (de Bie et al., 2006 [PubMed 16573520]).[supplied by OMIM, Mar 2009]	COMMD6 (COMM Domain Containing 6) is a Protein Coding gene. GO annotations related to this gene include NF-kappaB binding.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). Down-regulates activation of NF-kappa-B. Inhibits TNF-induced NFKB1 activation.	same
COMMD8	empty	COMMD8 (COMM Domain Containing 8) is a Protein Coding gene.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). May down-regulate activation of NF-kappa-B (PubMed:15799966).	same
COMMD7	empty	COMMD7 (COMM Domain Containing 7) is a Protein Coding gene. GO annotations related to this gene include NF-kappaB binding.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). Associates with the NF-kappa-B complex and suppresses its transcriptional activity (PubMed:15799966).	same
COMMD9	empty	COMMD9 (COMM Domain Containing 9) is a Protein Coding gene.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). May down-regulate activation of NF-kappa-B (PubMed:15799966). Modulates Na(+) transport in epithelial cells by regulation of apical cell surface expression of amiloride-sensitive sodium channel (ENaC) subunits (PubMed:23637203).	same
COLQ	This gene encodes the subunit of a collagen-like molecule associated with acetylcholinesterase in skeletal muscle. Each molecule is composed of three identical subunits. Each subunit contains a proline-rich attachment domain (PRAD) that binds an acetylcholinesterase tetramer to anchor the catalytic subunit of the enzyme to the basal lamina. Mutations in this gene are associated with endplate acetylcholinesterase deficiency. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]	COLQ (Collagen-Like Tail Subunit (Single Strand Of Homotrimer) Of Asymmetric Acetylcholinesterase) is a Protein Coding gene. Diseases associated with COLQ include endplate acetylcholinesterase deficiency and colq-related congenital myasthenic syndrome. An important paralog of this gene is SCARA3.	Anchors the catalytic subunits of asymmetric AChE to the synaptic basal lamina	same
COLEC12	This gene encodes a member of the C-lectin family, proteins that possess collagen-like sequences and carbohydrate recognition domains. This protein is a scavenger receptor, a cell surface glycoprotein that displays several functions associated with host defense. It can bind to carbohydrate antigens on microorganisms, facilitating their recognition and removal. It also mediates the recognition, internalization, and degradation of oxidatively modified low density lipoprotein by vascular endothelial cells. [provided by RefSeq, Oct 2011]	COLEC12 (Collectin Sub-Family Member 12) is a Protein Coding gene. Among its related pathways are Gene Expression and mRNA Splicing - Major Pathway. GO annotations related to this gene include scavenger receptor activity and signaling pattern recognition receptor activity. An important paralog of this gene is SCARA3.	Scavenger receptor that displays several functions associated with host defense. Promotes binding and phagocytosis of Gram-positive, Gram-negative bacteria and yeast. Mediates the recognition, internalization and degradation of oxidatively modified low density lipoprotein (oxLDL) by vascular endothelial cells. Binds to several carbohydrates including Gal-type ligands, D-galactose, L- and D-fucose, GalNAc, T and Tn antigens in a calcium-dependent manner and internalizes specifically GalNAc in nurse-like cells. Binds also to sialyl Lewis X or a trisaccharide and asialo-orosomucoid (ASOR). May also play a role in the clearance of amyloid beta in Alzheimer disease.	same
COL6A6	empty	COL6A6 (Collagen, Type VI, Alpha 6) is a Protein Coding gene. Among its related pathways are PI3K-Akt signaling pathway and Signaling by FGFR. An important paralog of this gene is SCARA3.	Collagen VI acts as a cell-binding protein.	same
COMTD1	empty	COMTD1 (Catechol-O-Methyltransferase Domain Containing 1) is a Protein Coding gene. GO annotations related to this gene include O-methyltransferase activity.	Putative O-methyltransferase.	same
COMT	Catechol-O-methyltransferase catalyzes the transfer of a methyl group from S-adenosylmethionine to catecholamines, including the neurotransmitters dopamine, epinephrine, and norepinephrine. This O-methylation results in one of the major degradative pathways of the catecholamine transmitters. In addition to its role in the metabolism of endogenous substances, COMT is important in the metabolism of catechol drugs used in the treatment of hypertension, asthma, and Parkinson disease. COMT is found in two forms in tissues, a soluble form (S-COMT) and a membrane-bound form (MB-COMT). The differences between S-COMT and MB-COMT reside within the N-termini. Several transcript variants are formed through the use of alternative translation initiation sites and promoters. [provided by RefSeq, Sep 2008]	COMT (Catechol-O-Methyltransferase) is a Protein Coding gene. Diseases associated with COMT include panic disorder and cisplatin toxicity. Among its related pathways are Metabolism and Metabolism. GO annotations related to this gene include magnesium ion binding and catechol O-methyltransferase activity. An important paralog of this gene is LRTOMT.	Catalyzes the O-methylation, and thereby the inactivation, of catecholamine neurotransmitters and catechol hormones. Also shortens the biological half-lives of certain neuroactive drugs, like L-DOPA, alpha-methyl DOPA and isoproterenol	same
COPB2	The Golgi coatomer complex (see MIM 601924) constitutes the coat of nonclathrin-coated vesicles and is essential for Golgi budding and vesicular trafficking. It consists of 7 protein subunits, including COPB2.[supplied by OMIM, Jul 2002]	COPB2 (Coatomer Protein Complex, Subunit Beta 2 (Beta Prime)) is a Protein Coding gene. Among its related pathways are COPI Mediated Transport and COPI Mediated Transport. GO annotations related to this gene include structural molecule activity.	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. In mammals, the coatomer can only be recruited by membranes associated to ADP-ribosylation factors (ARFs), which are small GTP-binding proteins; the complex also influences the Golgi structural integrity, as well as the processing, activity, and endocytic recycling of LDL receptors (By similarity).	same
COPG	empty	COPG1 (Coatomer Protein Complex, Subunit Gamma 1) is a Protein Coding gene. Among its related pathways are COPI Mediated Transport and COPI Mediated Transport. GO annotations related to this gene include structural molecule activity.	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non-clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins. In mammals, the coatomer can only be recruited by membranes associated to ADP-ribosylation factors (ARFs), which are small GTP-binding proteins; the complex also influences the Golgi structural integrity, as well as the processing, activity, and endocytic recycling of LDL receptors. Required for limiting lipid storage in lipid droplets. Involved in lipid homeostasis by regulating the presence of perilipin family members PLIN2 and PLIN3 at the lipid droplet surface and promoting the association of adipocyte triglyceride lipase (PNPLA2) with the lipid droplet surface to mediate lipolysis (By similarity).	diff
COPS2	empty	COPS2 (COP9 Signalosome Subunit 2) is a Protein Coding gene. Diseases associated with COPS2 include facial hemiatrophy and tactile agnosia. Among its related pathways are PI-3K cascade and Signaling by GPCR. GO annotations related to this gene include signal transducer activity and transcription corepressor activity. An important paralog of this gene is PSMD11.	Essential component of the COP9 signalosome complex (CSN), a complex involved in various cellular and developmental processes. The CSN complex is an essential regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunits of SCF-type E3 ligase complexes, leading to decrease the Ubl ligase activity of SCF-type complexes such as SCF, CSA or DDB2. The complex is also involved in phosphorylation of p53/TP53, c-jun/JUN, IkappaBalpha/NFKBIA, ITPK1 and IRF8/ICSBP, possibly via its association with CK2 and PKD kinases. CSN-dependent phosphorylation of TP53 and JUN promotes and protects degradation by the Ubl system, respectively. Involved in early stage of neuronal differentiation via its interaction with NIF3L1.	same
COPS3	The protein encoded by this gene possesses kinase activity that phosphorylates regulators involved in signal transduction. It phosphorylates I kappa-Balpha, p105, and c-Jun. It acts as a docking site for complex-mediated phosphorylation. The gene is located within the Smith-Magenis syndrome region on chromosome 17. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Nov 2010]	COPS3 (COP9 Signalosome Subunit 3) is a Protein Coding gene. Among its related pathways are TNF-alpha/NF-kB Signaling Pathway.	Component of the COP9 signalosome complex (CSN), a complex involved in various cellular and developmental processes. The CSN complex is an essential regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunits of SCF-type E3 ligase complexes, leading to decrease the Ubl ligase activity of SCF-type complexes such as SCF, CSA or DDB2. The complex is also involved in phosphorylation of p53/TP53, c-jun/JUN, IkappaBalpha/NFKBIA, ITPK1 and IRF8/ICSBP, possibly via its association with CK2 and PKD kinases. CSN-dependent phosphorylation of TP53 and JUN promotes and protects degradation by the Ubl system, respectively.	same
COPS5	The protein encoded by this gene is one of the eight subunits of COP9 signalosome, a highly conserved protein complex that functions as an important regulator in multiple signaling pathways. The structure and function of COP9 signalosome is similar to that of the 19S regulatory particle of 26S proteasome. COP9 signalosome has been shown to interact with SCF-type E3 ubiquitin ligases and act as a positive regulator of E3 ubiquitin ligases. This protein is reported to be involved in the degradation of cyclin-dependent kinase inhibitor CDKN1B/p27Kip1. It is also known to be an coactivator that increases the specificity of JUN/AP1 transcription factors. [provided by RefSeq, Jul 2008]	COPS5 (COP9 Signalosome Subunit 5) is a Protein Coding gene. Diseases associated with COPS5 include hepatocellular carcinoma. Among its related pathways are Cell Cycle / Checkpoint Control and HIF1Alpha Pathway. GO annotations related to this gene include transcription coactivator activity and translation initiation factor activity.	Probable protease subunit of the COP9 signalosome complex (CSN), a complex involved in various cellular and developmental processes. The CSN complex is an essential regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunits of the SCF-type E3 ligase complexes, leading to decrease the Ubl ligase activity of SCF-type complexes such as SCF, CSA or DDB2. The complex is also involved in phosphorylation of p53/TP53, c-jun/JUN, IkappaBalpha/NFKBIA, ITPK1 and IRF8, possibly via its association with CK2 and PKD kinases. CSN-dependent phosphorylation of TP53 and JUN promotes and protects degradation by the Ubl system, respectively. In the complex, it probably acts as the catalytic center that mediates the cleavage of Nedd8 from cullins. It however has no metalloprotease activity by itself and requires the other subunits of the CSN complex. Interacts directly with a large number of proteins that are regulated by the CSN complex, confirming a key role in the complex. Promotes the proteasomal degradation of BRSK2.	same
COL9A2	This gene encodes one of the three alpha chains of type IX collagen, the major collagen component of hyaline cartilage. Type IX collagen, a heterotrimeric molecule, is usually found in tissues containing type II collagen, a fibrillar collagen. This chain is unusual in that, unlike the other two type IX alpha chains, it contains a covalently attached glycosaminoglycan side chain. Mutations in this gene are associated with multiple epiphyseal dysplasia. [provided by RefSeq, Jul 2008]	COL9A2 (Collagen, Type IX, Alpha 2) is a Protein Coding gene. Diseases associated with COL9A2 include epiphyseal dysplasia, multiple, 2 and intervertebral disc disease. Among its related pathways are Signaling by FGFR and Signaling by GPCR. GO annotations related to this gene include extracellular matrix structural constituent conferring tensile strength. An important paralog of this gene is COL21A1.	Structural component of hyaline cartilage and vitreous of the eye	same
COPS6	The protein encoded by this gene is one of the eight subunits of COP9 signalosome, a highly conserved protein complex that functions as an important regulator in multiple signaling pathways. The structure and function of COP9 signalosome is similar to that of the 19S regulatory particle of 26S proteasome. COP9 signalosome has been shown to interact with SCF-type E3 ubiquitin ligases and act as a positive regulator of E3 ubiquitin ligases. This protein belongs to translation initiation factor 3 (eIF3) superfamily. It is involved in the regulation of cell cycle and likely to be a cellular cofactor for HIV-1 accessory gene product Vpr. [provided by RefSeq, Jul 2008]	COPS6 (COP9 Signalosome Subunit 6) is a Protein Coding gene. Diseases associated with COPS6 include hiv-1. Among its related pathways are Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways. An important paralog of this gene is PSMD7.	Component of the COP9 signalosome complex (CSN), a complex involved in various cellular and developmental processes. The CSN complex is an essential regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunits of SCF-type E3 ligase complexes, leading to decrease the Ubl ligase activity of SCF-type complexes such as SCF, CSA or DDB2. The complex is also involved in phosphorylation of p53/TP53, c-jun/JUN, IkappaBalpha/NFKBIA, ITPK1 and IRF8, possibly via its association with CK2 and PKD kinases. CSN-dependent phosphorylation of TP53 and JUN promotes and protects degradation by the Ubl system, respectively. Has some glucocorticoid receptor-responsive activity. Stabilizes RFWD2/COP1 through reducing RFWD2 auto-ubiquitination and decelerating RFWD2 turnover rate, hence regulates the ubiquitination of RFWD2 targets.	same
COMMD4	empty	COMMD4 (COMM Domain Containing 4) is a Protein Coding gene.	May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes (PubMed:21778237). Down-regulates activation of NF-kappa-B.	same
